SACC code(a),Country of citizenship(a),2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00
1101,Australia,866140.0,701180.0,655800.0,956990.0,732790.0,540330.0,665680.0,809460.0,737500.0,875110.0,843030.0,783000.0,931340.0,708050.0,695780.0,981710.0,747560.0,551210.0,747370.0,801130.0,770910.0,913330.0,885390.0,826310.0,951390.0,758530.0,717530.0,1039260.0,780980.0,555740.0,690820.0,885880.0,798700.0,905070.0,890000.0,828290.0,973600.0,773880.0,734570.0,1056000.0,807880.0,527820.0,247510.0,3480.0,5050.0,7280.0,12310.0,14330.0,11740.0,11860.0,10950.0,12090.0,12610.0,9270.0,9890.0,23990.0,41350.0,40140.0
1102,Norfolk Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1199,Australian External Territories nec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1201,New Zealand,155740.0,186450.0,150930.0,179880.0,164000.0,122510.0,143840.0,163170.0,142080.0,144270.0,165840.0,153420.0,155290.0,186630.0,151510.0,178230.0,164330.0,121230.0,148990.0,152950.0,141120.0,146010.0,167110.0,160830.0,160260.0,187630.0,155390.0,181790.0,164720.0,124410.0,146790.0,164150.0,145670.0,147940.0,167310.0,162410.0,164390.0,190850.0,157460.0,193340.0,170600.0,126690.0,87620.0,1860.0,3140.0,3620.0,3790.0,4130.0,3410.0,3330.0,3400.0,3990.0,3440.0,3220.0,3250.0,23900.0,48540.0,39670.0
1301,New Caledonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1302,Papua New Guinea,3590.0,3150.0,3590.0,4610.0,4740.0,2580.0,3070.0,3260.0,2720.0,3210.0,3640.0,2920.0,3790.0,3650.0,3700.0,4150.0,4210.0,2470.0,2900.0,3010.0,2610.0,3170.0,3370.0,2740.0,3290.0,2900.0,3340.0,4490.0,4090.0,2650.0,2820.0,3440.0,2910.0,3500.0,3800.0,3530.0,3860.0,3400.0,3490.0,4240.0,4020.0,2630.0,1740.0,10.0,140.0,220.0,130.0,120.0,70.0,130.0,110.0,260.0,120.0,100.0,100.0,30.0,40.0,60.0
1303,Solomon Islands,520.0,480.0,610.0,880.0,610.0,340.0,470.0,470.0,490.0,540.0,530.0,340.0,450.0,720.0,590.0,830.0,600.0,350.0,470.0,600.0,580.0,600.0,520.0,430.0,520.0,660.0,640.0,910.0,680.0,440.0,450.0,400.0,520.0,610.0,610.0,440.0,590.0,700.0,730.0,850.0,530.0,420.0,290.0,0.0,30.0,20.0,40.0,0.0,0.0,30.0,0.0,40.0,30.0,20.0,10.0,40.0,30.0,20.0
1304,Vanuatu,260.0,420.0,340.0,710.0,640.0,430.0,340.0,450.0,640.0,390.0,340.0,340.0,460.0,520.0,550.0,1090.0,510.0,350.0,520.0,640.0,770.0,510.0,440.0,400.0,630.0,570.0,710.0,1570.0,740.0,470.0,630.0,780.0,870.0,690.0,600.0,720.0,830.0,920.0,1060.0,1600.0,650.0,630.0,390.0,0.0,0.0,100.0,0.0,0.0,290.0,160.0,20.0,130.0,130.0,70.0,80.0,110.0,160.0,140.0
1401,Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1402,Kiribati,70.0,60.0,110.0,130.0,50.0,50.0,90.0,70.0,110.0,90.0,90.0,70.0,80.0,120.0,230.0,110.0,70.0,60.0,120.0,120.0,160.0,150.0,110.0,90.0,100.0,170.0,200.0,180.0,200.0,110.0,110.0,100.0,170.0,150.0,140.0,140.0,180.0,180.0,200.0,210.0,170.0,80.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,50.0,10.0,50.0,30.0,10.0,0.0,0.0
